,Outlet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,@BBCWorld,0.4215,0.259,0.0,0.741,1
1,@BBCWorld,0.0,0.0,0.0,1.0,2
2,@BBCWorld,-0.3818,0.0,0.206,0.794,3
3,@BBCWorld,0.5106,0.216,0.0,0.784,4
4,@BBCWorld,-0.7717,0.0,0.456,0.544,5
5,@BBCWorld,0.6932,0.228,0.0,0.772,6
6,@BBCWorld,0.0,0.0,0.0,1.0,7
7,@BBCWorld,0.0,0.0,0.0,1.0,8
8,@BBCWorld,-0.8555,0.0,0.483,0.517,9
9,@BBCWorld,-0.7269,0.0,0.466,0.534,10
10,@BBCWorld,0.4404,0.206,0.107,0.687,11
11,@BBCWorld,0.6908,0.416,0.0,0.584,12
12,@BBCWorld,0.0,0.0,0.0,1.0,13
13,@BBCWorld,0.0,0.0,0.0,1.0,14
14,@BBCWorld,0.0,0.0,0.0,1.0,15
15,@BBCWorld,-0.7003,0.0,0.279,0.721,16
16,@BBCWorld,-0.4588,0.0,0.364,0.636,17
17,@BBCWorld,0.7506,0.416,0.0,0.584,18
18,@BBCWorld,0.4754,0.192,0.0,0.808,19
19,@BBCWorld,0.0,0.0,0.0,1.0,20
20,@BBCWorld,0.4215,0.259,0.0,0.741,21
21,@BBCWorld,0.0,0.0,0.0,1.0,22
22,@BBCWorld,-0.3818,0.0,0.206,0.794,23
23,@BBCWorld,0.5106,0.216,0.0,0.784,24
24,@BBCWorld,-0.7717,0.0,0.456,0.544,25
25,@BBCWorld,0.6932,0.228,0.0,0.772,26
26,@BBCWorld,0.0,0.0,0.0,1.0,27
27,@BBCWorld,0.0,0.0,0.0,1.0,28
28,@BBCWorld,-0.8555,0.0,0.483,0.517,29
29,@BBCWorld,-0.7269,0.0,0.466,0.534,30
30,@BBCWorld,0.4404,0.206,0.107,0.687,31
31,@BBCWorld,0.6908,0.416,0.0,0.584,32
32,@BBCWorld,0.0,0.0,0.0,1.0,33
33,@BBCWorld,0.0,0.0,0.0,1.0,34
34,@BBCWorld,0.0,0.0,0.0,1.0,35
35,@BBCWorld,-0.7003,0.0,0.279,0.721,36
36,@BBCWorld,-0.4588,0.0,0.364,0.636,37
37,@BBCWorld,0.7506,0.416,0.0,0.584,38
38,@BBCWorld,0.4754,0.192,0.0,0.808,39
39,@BBCWorld,0.0,0.0,0.0,1.0,40
40,@BBCWorld,-0.7717,0.0,0.528,0.472,41
41,@BBCWorld,-0.3818,0.0,0.206,0.794,42
42,@BBCWorld,-0.2263,0.0,0.192,0.808,43
43,@BBCWorld,-0.128,0.0,0.158,0.842,44
44,@BBCWorld,0.0,0.0,0.0,1.0,45
45,@BBCWorld,0.25,0.253,0.191,0.556,46
46,@BBCWorld,-0.6486,0.0,0.301,0.699,47
47,@BBCWorld,-0.8834,0.0,0.563,0.437,48
48,@BBCWorld,-0.7906,0.191,0.5,0.309,49
49,@BBCWorld,-0.296,0.173,0.25,0.577,50
50,@BBCWorld,0.0,0.0,0.0,1.0,51
51,@BBCWorld,0.1531,0.147,0.164,0.69,52
52,@BBCWorld,0.5859,0.297,0.0,0.703,53
53,@BBCWorld,0.5848,0.186,0.0,0.814,54
54,@BBCWorld,-0.7579,0.0,0.481,0.519,55
55,@BBCWorld,0.7579,0.236,0.0,0.764,56
56,@BBCWorld,-0.4767,0.062,0.149,0.788,57
57,@BBCWorld,-0.8271,0.0,0.461,0.539,58
58,@BBCWorld,-0.4767,0.0,0.171,0.829,59
59,@BBCWorld,-0.4767,0.0,0.237,0.763,60
60,@BBCWorld,-0.6705,0.0,0.36,0.64,61
61,@BBCWorld,0.8176,0.484,0.0,0.516,62
62,@BBCWorld,0.0,0.0,0.0,1.0,63
63,@BBCWorld,0.2023,0.174,0.138,0.688,64
64,@BBCWorld,-0.765,0.0,0.423,0.577,65
65,@BBCWorld,-0.3818,0.0,0.245,0.755,66
66,@BBCWorld,0.0,0.0,0.0,1.0,67
67,@BBCWorld,0.3612,0.263,0.0,0.737,68
68,@BBCWorld,-0.4939,0.0,0.457,0.543,69
69,@BBCWorld,-0.4588,0.0,0.231,0.769,70
70,@BBCWorld,-0.25,0.0,0.182,0.818,71
71,@BBCWorld,-0.5994,0.0,0.281,0.719,72
72,@BBCWorld,-0.7096,0.0,0.424,0.576,73
73,@BBCWorld,0.5106,0.202,0.0,0.798,74
74,@BBCWorld,-0.5106,0.227,0.338,0.435,75
75,@BBCWorld,0.0,0.0,0.0,1.0,76
76,@BBCWorld,0.0,0.0,0.0,1.0,77
77,@BBCWorld,0.0,0.0,0.0,1.0,78
78,@BBCWorld,0.0,0.0,0.0,1.0,79
79,@BBCWorld,0.0,0.0,0.0,1.0,80
80,@BBCWorld,-0.3612,0.0,0.241,0.759,81
81,@BBCWorld,-0.4215,0.0,0.237,0.763,82
82,@BBCWorld,-0.128,0.0,0.064,0.936,83
83,@BBCWorld,0.5106,0.142,0.0,0.858,84
84,@BBCWorld,0.0,0.0,0.0,1.0,85
85,@BBCWorld,0.882,0.339,0.0,0.661,86
86,@BBCWorld,-0.4767,0.068,0.163,0.769,87
87,@BBCWorld,0.5106,0.191,0.0,0.809,88
88,@BBCWorld,-0.5859,0.0,0.352,0.648,89
89,@BBCWorld,-0.8555,0.0,0.54,0.46,90
90,@BBCWorld,-0.5574,0.0,0.159,0.841,91
91,@BBCWorld,0.6369,0.412,0.0,0.588,92
92,@BBCWorld,0.0,0.0,0.0,1.0,93
93,@BBCWorld,0.0772,0.098,0.0,0.902,94
94,@BBCWorld,-0.128,0.0,0.12,0.88,95
95,@BBCWorld,-0.1027,0.0,0.135,0.865,96
96,@BBCWorld,-0.6486,0.0,0.323,0.677,97
97,@BBCWorld,0.0,0.0,0.0,1.0,98
98,@BBCWorld,-0.4215,0.0,0.322,0.678,99
99,@BBCWorld,0.1189,0.106,0.085,0.808,100
0,@CBSNews,0.816,0.38,0.142,0.478,1
1,@CBSNews,-0.1779,0.0,0.072,0.928,2
2,@CBSNews,0.128,0.073,0.0,0.927,3
3,@CBSNews,0.0,0.0,0.0,1.0,4
4,@CBSNews,0.4019,0.105,0.0,0.895,5
5,@CBSNews,0.0,0.0,0.0,1.0,6
6,@CBSNews,0.0,0.0,0.0,1.0,7
7,@CBSNews,-0.296,0.0,0.128,0.872,8
8,@CBSNews,0.0,0.0,0.0,1.0,9
9,@CBSNews,0.6597,0.375,0.0,0.625,10
10,@CBSNews,0.2023,0.189,0.135,0.676,11
11,@CBSNews,0.4404,0.172,0.0,0.828,12
12,@CBSNews,-0.0772,0.0,0.14,0.86,13
13,@CBSNews,-0.5423,0.0,0.226,0.774,14
14,@CBSNews,-0.5574,0.0,0.247,0.753,15
15,@CBSNews,0.0,0.0,0.0,1.0,16
